Country Name,Series Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,Population growth (annual %),1.633793357,1.609715254,1.588837626,1.56372474,1.528963703,1.481112099,1.424167434,1.366957076,1.312744186,1.257382738,1.201294128,1.145880998,1.090196854,1.037862037,0.994311624,0.961948263,0.937956738,0.915962656,0.893531058,0.873603191,0.855792023,0.838848283,0.823748232,0.807147162,0.783847579
Brazil,Exchange Rate,561.4824864864871,0.915660192307693,1.0040538314176235,1.0771790384615387,1.1598024999999998,1.8138857692307684,1.8281919230769235,2.3518264367816104,2.918693893129772,3.0751376447876466,2.924261346153849,2.4370807692307714,2.1759416988417004,1.9486920849420866,1.8302203846153844,1.9967025096525086,1.759747440944882,1.6713541832669312,1.9524228915662645,2.155004618473896,2.350286199999999,3.3337396000000026,3.486701992031871,3.19037911646586,3.6504578313253013
Brazil,GDP growth (annual %),5.334551702,4.416731355,2.207535527,3.394845985,0.338097903,0.467937567,4.387949443,1.389896403,3.053461858,1.140828998,5.759964639,3.20213138,3.961988722,6.069870608,5.094195447,-0.125811999,7.52822583,3.974423079,1.921175986,3.004822669,0.50395574,-3.545763393,-3.305454313,1.063861259,1.11757918
Brazil,"Inflation, consumer prices (annual %)",2075.888398,66.00703355,15.7576656,6.926712516,3.195076293,4.858447499,7.044141059,6.840359025,8.450164377,14.71491972,6.5971851,6.869537209,4.183568129,3.641272991,5.678593903,4.888034799,5.038726901,6.636369353,5.403553391,6.204335948,6.329152227,9.029807186,8.7391283,3.446367832,3.664850284
Brazil,Imports of goods and services (% of GDP),9.66785407,9.455584961,8.905381793,9.592559686,9.408084592,11.41726822,12.45171335,14.56457435,13.38776713,12.95960101,13.13249097,11.84296594,11.66738358,11.96493627,13.72356891,11.25460447,11.90659334,12.3518925,13.23673454,14.04372931,13.67346063,14.05343452,12.0710907,11.57102404,14.27671385
Brazil,Exports of goods and services (% of GDP),9.665051387,7.528875038,6.730209683,6.983649575,7.030500339,9.564898261,10.188048,12.37171067,14.23059027,15.18078371,16.54576151,15.24382927,14.3743163,13.3276751,13.53400051,10.85137113,10.86558477,11.58251268,11.87753907,11.74223285,11.01194092,12.90019142,12.4709021,12.57345501,14.80534425
Canada,Exchange Rate,1.3660411196911197,1.3722119230769236,1.3635109195402286,1.3847848076923086,1.483988076923077,1.4855032692307688,1.4852125000000007,1.5490109195402297,1.570269465648855,1.4001521235521242,1.3006065384615375,1.211600961538461,1.1341106177606175,1.0737388030888038,1.0669375000000008,1.1408482625482625,1.0300661417322827,0.9889235059760958,0.9995857429718871,1.0297248995983943,1.104356,1.2795552,1.3243103585657379,1.2983383534136546,1.2955684738955815
Canada,GDP growth (annual %),4.494682274,2.692015616,1.618885847,4.279576125,3.881401956,5.162467865,5.182585378,1.771278065,3.009995251,1.801783965,3.086197262,3.20119986,2.623561174,2.062411488,1.001059411,-2.949450662,3.082591592,3.141950887,1.753890418,2.319882289,2.858996461,0.674305601,1.100471479,2.985033351,1.878588928
Canada,Population growth (annual %),1.095258107,1.034769484,1.045311783,0.993788591,0.829909353,0.812842624,0.931281553,1.086350966,1.087447927,0.901372739,0.933020777,0.944466927,1.010334503,0.971135141,1.082907116,1.141758099,1.111864075,0.978697787,1.085817263,1.056591259,1.005337579,0.746339478,1.132348655,1.185925675,1.409246617
Canada,Exports of goods and services (% of GDP),32.84606723,36.17415766,37.1802157,38.2156212,40.12130653,41.95317276,44.31100625,42.11485263,40.11385075,36.90672046,37.36424628,36.86687913,35.39482123,34.2119512,34.37897591,28.49253365,29.12526149,30.61959793,30.27543219,30.23142693,31.6020159,31.68030246,31.24965412,31.10003705,31.87580695
Canada,Imports of goods and services (% of GDP),31.69104264,33.04896541,33.24869928,36.30113951,38.15906412,38.36168361,38.66378564,36.40001578,35.72846992,33.04553965,32.92156802,32.94197433,32.67663267,32.06105754,32.62214876,29.9338699,31.00886753,31.78377352,32.20388543,31.83055674,32.54037323,34.15816181,33.65687925,33.42290721,33.99681549
Canada,"Inflation, consumer prices (annual %)",0.165562914,2.148760331,1.570531125,1.621216381,0.995942457,1.734842951,2.719439957,2.52512014,2.258394409,2.758563214,1.857258719,2.213552034,2.002025395,2.138383993,2.370270674,0.299466803,1.776871541,2.912135089,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547,1.596884129,2.268225672
China,Imports of goods and services (% of GDP),17.23306642,16.32307795,15.89144991,15.0398529,14.08237469,15.36187057,18.51709397,18.21521353,20.10265796,24.82323147,28.44418664,28.3780353,28.44385835,26.73028353,24.95446007,20.18136385,22.67189203,24.17271428,22.77499818,22.14512224,21.47130664,18.18573333,17.4581934,18.18673175,18.7313138
China,Exchange Rate,8.678351158301215,8.392249038461538,8.314443678160929,8.289774230769225,8.278965000000001,8.278280384615378,8.278406730769236,8.277060344827591,8.276957251908405,8.2770415057915,8.276795961538435,8.193479038461552,7.974363513513517,7.608571042471042,6.948067499999998,6.8311316602316605,6.7712185039370105,6.461561752988047,6.312729518072291,6.195894578313251,6.142872999999998,6.227779800000003,6.641212151394425,6.758892771084337,6.6127226907630545
China,Population growth (annual %),1.130260632,1.086509151,1.048141514,1.023450024,0.959550406,0.865851393,0.787956593,0.726380638,0.669999568,0.622860936,0.593932815,0.58812499,0.558374367,0.522271866,0.512386932,0.497381401,0.482959689,0.479150454,0.487231118,0.493709634,0.506311592,0.508136747,0.541478512,0.559121331,0.455899679
